"year"	"YPVI"	"YPPVI"	"YPM"
"1"	1984	0.0544	NA	NA
"2"	1986	0.1038	NA	NA
"3"	1988	0.0922	NA	NA
"4"	1990	0.0818000000000001	0.0544	0.0274000000000001
"5"	1992	0.0540000000000001	0.1038	-0.0497999999999999
"6"	1994	-0.0718000000000001	0.0922	-0.164
"7"	1996	0.00319999999999993	0.0818000000000001	-0.0786000000000001
"8"	1998	-0.0122	0.0540000000000001	-0.0662
"9"	2000	-0.00459999999999994	-0.0718000000000001	0.0672000000000001
"10"	2002	-0.0509999999999999	0.00319999999999993	-0.0541999999999999
"11"	2004	-0.0273999999999999	-0.0122	-0.0152
"12"	2006	0.0818000000000001	-0.00459999999999994	0.0864
"13"	2008	0.1112	-0.0509999999999999	0.1622
"14"	2010	-0.0698	-0.0273999999999999	-0.0424000000000001
"15"	2012	0.00980000000000004	0.0818000000000001	-0.072
"16"	2014	-0.045	0.1112	-0.1562
"17"	2016	-0.0148	-0.0698	0.055
"18"	2018	0.0862	0.00980000000000004	0.0764
"19"	2020	NA	-0.045	NA
"20"	2022	NA	-0.0148	NA
"21"	2024	NA	0.0862	NA
